other,Mx93399af0cfa1345a0a5dbb6d35bc7128e22e9241,0,0,1100
other,Mxb14c6f02446d2da53742f278fc018f9cc053393d,35.353,8.83825,6100
other,Mx86d7122f64d26241f5f5b2fcfab851384fa1a51c,0,0,5000
pool_default,Mx66989ca32813a0ceef34a97bb885a0247393338c,0,0,1100
other,Mx37441e6c88ea3e8f092bbff4b5d18967f855f8ab,0,0,1100
other,Mxa355e043193c56af8c22fd33627c3eb81e2809d5,6728.4,1762.8612,6200
other,Mx00df87b32f7ecdb2d9335351c6c72bc536705c80,0,0,1100
other,Mxca72e2ce6ab954aa218aa43ccd2b0bf0d68a214c,0,0,1100
other,Mx1db5c5c30c8b1decfb05d54bfa85872e2950dfb1,0,0,1100
other,Mx36658a4923020d59400e9cc8a94c11ab47d9a37c,0,0,1100
other,Mxe24279fdc31f6765b239ce72a4d01093a75c6d7e,0,0,6100
pool_default,Mxbc099537c51b31cb57f0e951ceb7b8384d16d831,0,0,6100
other,Mx5c34cb3c563b4b093fff6ff09bcedef0b50415b2,0,0,1100
other,Mxbb0015dc6a0b0185f09590b4b742be82649e0308,0,0,1100
other,Mx1ac6698270bed978fba4c5fa136d4072ee2608aa,4608.542,921.7084,1100
other,Mx89f176ebaba4c2eb47a45315bb8883f0d36849ed,0,0,1100
other,Mx4ea92388d09d332ab265d8cb36b5176b643cb3f3,0,0,6100
other,Mxda9e6511c2c97ea8892e4a5aec62f59cdaddee29,0,0,1100
other,Mxf07dc703fae3608abf29719d052a1b527b1dd9f8,1000000,1250000,6200
pool_default,Mx019b7228eb6dd8db7d6aed0cec5e228671c08fb2,0,1104.2655,0
other,Mx019b7228eb6dd8db7d6aed0cec5e228671c08fb2,0,0,1100
pool_default,Mx89a1d64062d8b6785705176b19dca6a48558e187,0,154.71896,1100
other,Mx85bc6c2ae86ecc3febc3c43f6a9227da3eaed5e6,0,0,1100
other,Mx9f012ea4f5c928ff81bafd6b92d07469852478a6,0,0,1100
pool_default,Mxa750555f4626eef9f898b85c72ad06aeed365205,0,555.600175,0
other,Mxe98cade698b062f1469f7cd4ee8780f0f4d6922d,0,0,1100
